               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0. 5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 109,            0.069314,           0.0020091,           0.0053015,             0.58095,             0.48554,             0.49208,              0.3009,            0.057972,           0.0017932,            0.005277,             0.00248,             0.00248,             0.00248
                 110,            0.069396,           0.0020062,           0.0053032,             0.60048,             0.47406,              0.4923,             0.30104,            0.057968,           0.0017934,           0.0052755,           0.0024679,           0.0024679,           0.0024679
                 111,            0.069145,           0.0020199,           0.0052992,             0.61136,             0.46914,             0.49256,             0.30136,            0.057962,            0.001793,           0.0052736,           0.0024557,           0.0024557,           0.0024557
                 112,            0.069041,           0.0020076,           0.0052559,             0.60829,             0.47113,             0.49276,             0.30154,            0.057955,           0.0017927,            0.005273,           0.0024435,           0.0024435,           0.0024435
                 113,            0.069137,           0.0019987,           0.0052842,             0.61128,             0.47042,             0.49281,             0.30139,            0.057946,           0.0017924,           0.0052729,           0.0024312,           0.0024312,           0.0024312
                 114,            0.069198,           0.0020197,           0.0052905,             0.60877,             0.47042,             0.49269,             0.30134,            0.057937,           0.0017922,           0.0052721,           0.0024189,           0.0024189,           0.0024189
                 115,            0.069269,           0.0020188,           0.0052811,             0.60112,             0.47522,             0.49282,             0.30141,            0.057931,           0.0017917,            0.005272,           0.0024065,           0.0024065,           0.0024065
                 116,            0.068981,           0.0020087,           0.0052543,             0.59579,              0.4784,             0.49284,             0.30138,            0.057931,           0.0017915,           0.0052724,            0.002394,            0.002394,            0.002394
                 117,            0.069194,           0.0020099,           0.0052487,             0.61189,             0.46915,               0.493,             0.30126,            0.057932,           0.0017913,           0.0052722,           0.0023815,           0.0023815,           0.0023815
                 118,            0.069013,           0.0020031,            0.005255,             0.61024,             0.46989,             0.49269,             0.30102,            0.057927,           0.0017911,           0.0052722,           0.0023689,           0.0023689,           0.0023689
                 119,            0.068852,           0.0020032,           0.0052399,             0.60035,             0.47523,             0.49283,             0.30103,             0.05792,           0.0017908,           0.0052718,           0.0023563,           0.0023563,           0.0023563
                 120,            0.068937,           0.0020023,           0.0052213,             0.60719,              0.4719,             0.49305,             0.30125,            0.057917,           0.0017901,            0.005271,           0.0023436,           0.0023436,           0.0023436
                 121,            0.068739,           0.0019838,           0.0052048,             0.60174,              0.4748,             0.49292,             0.30108,            0.057907,           0.0017901,           0.0052716,           0.0023308,           0.0023308,           0.0023308
                 122,            0.068961,           0.0020084,           0.0052474,             0.59846,             0.47684,             0.49284,             0.30116,            0.057902,           0.0017896,           0.0052727,            0.002318,            0.002318,            0.002318
                 123,            0.068684,           0.0019897,            0.005203,             0.59775,             0.47766,              0.4928,             0.30126,            0.057901,           0.0017896,           0.0052737,           0.0023052,           0.0023052,           0.0023052
                 124,            0.068786,           0.0019996,            0.005242,              0.6004,             0.47624,             0.49293,             0.30127,            0.057899,           0.0017896,           0.0052738,           0.0022923,           0.0022923,           0.0022923
                 125,            0.068728,           0.0019928,           0.0052244,             0.60338,             0.47493,              0.4928,             0.30133,            0.057898,           0.0017893,           0.0052743,           0.0022793,           0.0022793,           0.0022793
                 126,            0.068639,           0.0019883,           0.0052024,              0.6021,             0.47616,              0.4933,              0.3016,            0.057894,           0.0017891,            0.005275,           0.0022663,           0.0022663,           0.0022663
                 127,            0.068687,           0.0019868,           0.0051959,             0.60466,              0.4746,             0.49353,             0.30191,            0.057887,           0.0017889,           0.0052742,           0.0022533,           0.0022533,           0.0022533
                 128,            0.068661,               0.002,           0.0051775,              0.5978,             0.47848,             0.49346,             0.30197,             0.05788,           0.0017885,           0.0052744,           0.0022402,           0.0022402,           0.0022402
                 129,            0.068685,            0.001991,           0.0051817,             0.60749,             0.47347,             0.49369,             0.30217,            0.057879,           0.0017885,           0.0052757,           0.0022271,           0.0022271,           0.0022271
                 130,            0.068494,           0.0019894,           0.0051672,             0.60162,             0.47631,             0.49384,             0.30213,            0.057877,           0.0017882,           0.0052778,           0.0022139,           0.0022139,           0.0022139
                 131,            0.068542,           0.0019818,           0.0051721,              0.6056,             0.47443,             0.49396,             0.30203,            0.057873,           0.0017882,           0.0052786,           0.0022007,           0.0022007,           0.0022007
                 132,            0.068589,           0.0019884,           0.0051501,             0.60363,              0.4754,             0.49411,             0.30216,             0.05787,            0.001788,           0.0052791,           0.0021875,           0.0021875,           0.0021875
                 133,            0.068474,           0.0019779,           0.0051529,              0.6083,             0.47328,             0.49476,              0.3024,            0.057869,           0.0017879,           0.0052786,           0.0021742,           0.0021742,           0.0021742
                 134,            0.068464,           0.0019943,           0.0051612,             0.61577,                0.47,             0.49493,             0.30263,            0.057865,           0.0017879,           0.0052774,           0.0021609,           0.0021609,           0.0021609
                 135,            0.068387,           0.0019945,           0.0051441,             0.60473,             0.47539,             0.49479,             0.30253,            0.057862,           0.0017877,           0.0052767,           0.0021475,           0.0021475,           0.0021475
